time,q_actual_0,q_actual_1,q_actual_2,q_actual_3,q_actual_4,q_actual_5,q_actual_6,dq_actual_0,dq_actual_1,dq_actual_2,dq_actual_3,dq_actual_4,dq_actual_5,dq_actual_6,tau_actual_0,tau_actual_1,tau_actual_2,tau_actual_3,tau_actual_4,tau_actual_5,tau_actual_6,q_ref_0,q_ref_1,q_ref_2,q_ref_3,q_ref_4,q_ref_5,q_ref_6,dq_ref_0,dq_ref_1,dq_ref_2,dq_ref_3,dq_ref_4,dq_ref_5,dq_ref_6,tau_ref_0,tau_ref_1,tau_ref_2,tau_ref_3,tau_ref_4,tau_ref_5,tau_ref_6
0.000000,0.000191,0.000191,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,0.010989,0.010989,0.004884,-0.004884,0.007326,-0.007326,0.007326,0.145055,0.118681,0.198291,-0.061538,-0.007326,-0.002442,-0.017094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.000191,0.000191,-0.000572,-0.000191,0.000572,-0.000572,-0.000572,0.010989,0.010989,0.004884,-0.004884,-0.007326,-0.021978,-0.007326,0.145055,0.118681,0.198291,-0.075214,-0.002442,0.002442,-0.017094,-0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.000191,0.000191,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,0.010989,0.010989,0.004884,-0.004884,0.007326,-0.007326,-0.007326,0.145055,0.118681,0.225641,-0.088889,-0.007326,-0.007326,-0.017094,-0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.030000,0.000191,0.000191,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,0.010989,0.010989,0.004884,-0.004884,0.007326,-0.007326,0.007326,0.224176,0.118681,0.198291,-0.088889,-0.002442,-0.012210,-0.007326,-0.000900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040000,0.000191,0.000191,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,0.032967,0.010989,0.004884,-0.004884,0.007326,-0.007326,-0.007326,0.250549,0.118681,0.211966,-0.075214,-0.007326,0.007326,-0.031746,-0.001600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,0.000191,0.000191,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,-0.010989,0.010989,0.004884,-0.004884,0.007326,-0.007326,0.007326,0.303297,0.118681,0.211966,-0.088889,-0.007326,0.017094,-0.017094,-0.002500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.060000,0.000191,0.000191,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,0.010989,0.010989,0.004884,-0.004884,0.007326,-0.007326,-0.007326,0.276923,0.118681,0.170940,-0.088889,0.002442,-0.007326,0.002442,-0.003600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.070000,0.000191,0.000191,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,0.010989,0.010989,0.004884,-0.004884,0.007326,-0.007326,0.007326,0.197802,0.118681,0.170940,-0.088889,-0.007326,-0.012210,-0.007326,-0.004900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.080000,0.000191,0.000191,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,0.010989,0.010989,0.004884,-0.004884,0.007326,-0.007326,-0.007326,0.065934,0.118681,0.211966,-0.088889,-0.002442,0.002442,-0.026862,-0.006400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.090000,0.000191,0.000191,-0.000572,-0.000191,0.000572,-0.000572,-0.000572,-0.010989,0.010989,0.004884,-0.004884,0.007326,-0.007326,-0.007326,-0.118681,0.118681,0.239316,-0.075214,-0.002442,-0.017094,-0.017094,-0.008100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
